Ano,DTCC,Distrito,Concelho,Num_IncendiosRurais,AreaArdPov_NoConcelho,AreaArdMato_NoConcelho,AreaArdAgric_NoConcelho,AreaArdTotal_NoConcelho,AreaArdPov_IncendioInicioConc,AreaArdMato_IncendioInicioConc,AreaArdAgric_IncendioInicioConc,AreaArdTotal_IncendioInicioConc,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2002,1012,LEIRIA,ÓBIDOS,42,,,,,16.8,23.1,2.0,41.8,34,7,1,0,0,0,0,0,0,0,0,4,0,38,0
2002,1013,LEIRIA,PEDRÓGÃO GRANDE,23,,,,,3.6,0.9,0.2,4.6,22,1,0,0,0,0,0,0,0,1,1,3,0,18,0
2002,1014,LEIRIA,PENICHE,37,,,,,5.4,6.5,4.5,16.4,30,7,0,0,0,0,0,0,0,0,0,1,0,36,0
2002,1015,LEIRIA,POMBAL,197,,,,,346.9,849.1,24.3,1220.3,172,20,1,0,2,1,1,0,0,5,4,38,1,149,2
2002,1016,LEIRIA,PORTO DE MÓS,64,,,,,1.6,31.0,0.4,33.0,59,4,1,0,0,0,0,0,0,2,2,7,0,53,0
2002,1101,LISBOA,ALENQUER,190,,,,,34.5,47.0,34.5,116.0,145,45,0,0,0,0,0,0,0,0,0,6,0,184,0
2002,1102,LISBOA,ARRUDA DOS VINHOS,93,,,,,0.6,35.6,2.2,38.3,71,22,0,0,0,0,0,0,0,0,0,4,0,89,0
2002,1103,LISBOA,AZAMBUJA,96,,,,,95.4,61.9,6.0,163.3,69,26,0,0,1,0,0,0,0,0,1,5,0,90,0
2002,1104,LISBOA,CADAVAL,51,,,,,14.7,11.9,3.1,29.7,41,10,0,0,0,0,0,0,0,0,0,3,0,48,1
2002,1105,LISBOA,CASCAIS,166,,,,,13.9,139.1,0.2,153.1,145,19,1,0,1,0,0,0,0,0,0,2,0,164,1
2002,1106,LISBOA,LISBOA,1,,,,,0.0,0.7,0.0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,1107,LISBOA,LOURES,401,,,,,34.3,103.5,11.3,149.1,360,40,0,1,0,0,0,0,0,0,0,20,2,379,0
2002,1108,LISBOA,LOURINHÃ,53,,,,,75.0,33.9,5.7,114.6,29,22,0,2,0,0,0,0,0,0,0,1,1,51,1
2002,1109,LISBOA,MAFRA,249,,,,,238.7,123.2,27.0,388.9,194,52,1,0,1,1,0,0,0,1,0,9,2,237,0
2002,1110,LISBOA,OEIRAS,79,,,,,0.0,10.6,0.2,10.8,75,4,0,0,0,0,0,0,0,0,0,0,0,79,0
2002,1111,LISBOA,SINTRA,366,,,,,35.0,166.6,50.8,252.4,299,64,2,1,0,0,0,0,0,1,0,8,4,353,0
2002,1112,LISBOA,SOBRAL DE MONTE AGRAÇO,55,,,,,1.0,26.2,7.0,34.2,42,13,0,0,0,0,0,0,0,0,0,0,0,55,0
2002,1113,LISBOA,TORRES VEDRAS,263,,,,,49.3,166.1,26.8,242.2,230,28,2,2,1,0,0,0,0,0,0,10,1,252,0
2002,1114,LISBOA,VILA FRANCA DE XIRA,183,,,,,2.2,52.0,2.6,56.8,163,20,0,0,0,0,0,0,0,0,0,6,0,177,0
2002,1115,LISBOA,AMADORA,36,,,,,3.0,16.0,0.1,19.1,28,8,0,0,0,0,0,0,0,0,0,2,1,33,0
2002,1116,LISBOA,ODIVELAS,163,,,,,0.5,28.5,2.0,31.1,154,9,0,0,0,0,0,0,0,0,0,3,0,160,0
2002,1201,PORTALEGRE,ALTER DO CHÃO,3,,,,,78.5,40.0,0.0,118.5,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0
