Ano,Distrito,Num_IncendiosRurais,AreaArdPov_NoDistrito,AreaArdMato_NoDistrito,AreaArdAgric_NoDistrito,AreaArdTotal_NoDistrito,AreaArdPov_IncendioInicioDist,AreaArdMato_IncendioInicioDist,AreaArdAgric_IncendioInicioDist,AreaArdTotal_IncendioInicioDist,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2003,SANTARÉM,1029,,,,,53283,13657,4025,70964,769,176,14,21,11,17,9,12,8,22,29,97,25,848,25
2003,SETÚBAL,665,,,,,7910,145,708,8762,545,100,5,3,4,3,2,3,6,7,2,0,18,632,6
2003,VIANA DO CASTELO,1008,,,,,872,622,12,1506,774,204,21,6,2,1,0,0,0,22,21,35,2,928,0
2003,VILA REAL,1450,,,,,1649,3328,146,5123,985,415,11,20,10,7,2,0,24,105,91,220,3,1007,7
2003,VISEU,2076,,,,,2299,3820,166,6285,1557,467,12,21,7,10,1,1,0,36,61,218,7,1754,11
2004,AVEIRO,2326,,,,,2410,382,65,2857,2142,158,13,7,4,0,1,1,0,17,26,151,6,2126,7
2004,BEJA,187,,,,,6587,6076,3148,15810,87,58,13,10,4,10,2,3,2,17,2,5,21,140,5
2004,BRAGA,3809,,,,,1158,2157,47,3362,3115,640,26,19,8,1,0,0,0,15,13,16,5,3760,4
2004,BRAGANÇA,864,,,,,1809,7874,187,9870,472,325,20,15,12,16,3,1,5,63,25,44,10,717,9
2004,CASTELO BRANCO,678,,,,,6809,905,1207,8920,476,166,8,11,5,7,2,3,4,37,5,26,50,556,15
2004,COIMBRA,487,,,,,445,86,5,537,416,63,1,5,1,1,0,0,0,15,24,16,17,415,1
2004,ÉVORA,445,,,,,3366,399,2144,5909,317,96,11,9,7,2,0,3,0,4,0,0,12,429,5
2004,FARO,274,,,,,17839,12834,9509,40182,180,65,9,3,2,4,1,10,0,16,13,3,26,216,16
2004,GUARDA,953,,,,,1806,11305,1399,14511,496,367,25,22,15,21,3,4,1,33,11,57,12,839,9
2004,LEIRIA,1049,,,,,461,1042,86,1589,899,133,5,6,4,1,1,0,0,13,30,35,59,912,2
2004,LISBOA,3244,,,,,406,1430,220,2056,2711,513,10,5,3,2,0,0,0,0,0,5,0,3239,2
2004,PORTALEGRE,265,,,,,446,114,304,863,175,74,7,5,2,2,0,0,0,0,1,3,1,260,4
2004,PORTO,4861,,,,,2355,4220,29,6604,4253,533,33,18,13,9,2,0,0,2,1,0,1,4857,19
2004,SANTARÉM,1450,,,,,3141,2328,2347,7816,1163,234,13,16,9,11,3,1,0,18,50,100,13,1269,9
2004,SETÚBAL,1390,,,,,1606,874,448,2927,1178,183,12,11,2,3,1,0,0,10,4,2,14,1360,4
2004,VIANA DO CASTELO,1657,,,,,1403,2033,26,3462,1240,357,24,22,9,5,0,0,0,36,42,235,9,1335,2
2004,VILA REAL,1614,,,,,2583,11791,42,14416,1082,475,17,12,9,9,6,4,1,108,76,194,12,1223,18
2004,VISEU,2276,,,,,1643,7947,91,9681,1700,516,19,20,5,11,3,2,1,17,41,163,16,2038,14
2005,AVEIRO,5012,,,,,20821,1626,43,22490,4581,378,17,16,4,10,1,5,0,26,45,291,2,4648,20
2005,BEJA,116,,,,,1534,89,14,1637,59,43,6,1,2,5,0,0,0,7,0,2,17,90,8
2005,BRAGA,5283,,,,,7840,10094,49,17983,4115,981,57,56,39,31,3,1,0,9,30,33,23,5188,31
2005,BRAGANÇA,966,,,,,4321,8029,468,12818,558,339,14,13,13,22,6,1,0,29,29,23,4,881,28
2005,CASTELO BRANCO,1065,,,,,15231,4963,864,21059,819,196,7,10,3,20,4,6,0,12,8,63,48,934,28
2005,COIMBRA,1248,,,,,34622,13605,174,48400,1078,103,12,6,9,19,11,10,0,150,102,292,46,658,34
2005,ÉVORA,351,,,,,1337,45,253,1635,262,78,6,1,2,1,1,0,0,1,0,0,6,344,4
2005,FARO,345,,,,,713,953,79,1745,256,77,2,1,5,3,1,0,0,4,2,4,12,323,9
2005,GUARDA,1461,,,,,12527,12776,681,25984,984,392,25,19,13,18,3,7,1,15,21,84,26,1314,28
2005,LEIRIA,1476,,,,,22967,3878,1166,28011,1237,169,12,17,8,19,6,8,0,62,111,234,105,964,34
2005,LISBOA,3273,,,,,578,1533,196,2307,2733,506,20,9,3,2,0,0,0,4,20,17,7,3225,5
2005,PORTALEGRE,440,,,,,1757,56,228,2041,353,77,2,3,2,1,2,0,0,0,0,5,0,435,5
2005,PORTO,8075,,,,,16787,8724,162,25672,6752,1089,84,75,34,29,10,2,0,0,0,0,0,8075,96
2005,SANTARÉM,1980,,,,,24631,4260,2685,31576,1650,268,10,18,9,10,8,7,0,12,47,54,11,1856,32
2005,SETÚBAL,1216,,,,,901,108,138,1147,1074,132,3,2,3,2,0,0,0,9,1,8,12,1186,5
2005,VIANA DO CASTELO,2597,,,,,15439,11629,22,27091,1939,533,40,27,20,24,10,4,0,17,36,407,1,2136,29
2005,VILA REAL,2601,,,,,15796,19869,150,35815,1597,859,36,48,24,27,5,5,2,81,99,84,29,2306,39
2005,VISEU,4184,,,,,16118,22921,265,39305,2958,1045,54,45,25,41,8,8,0,18,68,396,28,3674,76
2006,AVEIRO,1766,,,,,2132,257,9,2398,1651,97,5,5,3,4,1,0,0,13,3,14,376,1360,9
2006,BEJA,504,,,,,1436,428,2860,4724,348,120,13,7,11,2,2,1,0,27,2,0,65,410,5
2006,BRAGA,3142,,,,,4995,5273,34,10301,2548,500,22,42,12,15,2,1,2,8,42,8,66,3016,24
2006,BRAGANÇA,504,,,,,1218,1260,157,2635,329,148,8,9,2,8,0,0,5,8,9,0,27,455,13
2006,CASTELO BRANCO,687,,,,,1907,861,130,2898,566,103,4,6,1,6,1,0,2,4,0,6,36,639,11
2006,COIMBRA,869,,,,,550,391,41,982,763,96,7,1,0,2,0,0,3,15,16,1,101,733,4
2006,ÉVORA,518,,,,,5241,805,1026,7073,420,58,13,17,6,2,1,1,2,52,8,6,76,374,7
2006,FARO,768,,,,,6,173,19,198,700,64,3,1,0,0,0,0,0,9,0,0,64,695,1
2006,GUARDA,805,,,,,1025,4602,255,5883,561,188,18,13,10,14,1,0,17,85,56,38,67,542,22
2006,LEIRIA,849,,,,,1121,3253,24,4398,770,66,3,6,0,3,0,1,7,25,5,18,362,432,11
2006,LISBOA,2050,,,,,89,600,44,734,1808,234,5,2,1,0,0,0,0,0,0,1,0,2049,4
2006,PORTALEGRE,421,,,,,1657,428,1382,3466,289,104,5,11,5,5,2,0,22,45,1,1,99,253,3
2006,PORTO,4785,,,,,4554,2453,62,7070,4265,460,26,20,6,4,3,1,0,1,2,10,14,4758,17
2006,SANTARÉM,1207,,,,,1532,1354,320,3206,1044,138,2,10,5,8,0,0,2,4,6,1,20,1174,12
2006,SETÚBAL,1400,,,,,625,179,770,1574,1275,109,6,5,2,2,1,0,0,6,7,2,15,1370,6
2006,VIANA DO CASTELO,1116,,,,,3800,11909,12,15721,750,306,15,17,8,12,6,2,0,3,4,35,25,1049,11
2006,VILA REAL,1233,,,,,1375,2532,69,3977,853,347,15,8,2,6,2,0,9,159,182,2,120,761,17
2006,VISEU,1619,,,,,3452,3010,7,6469,1342,237,10,9,10,9,1,1,12,38,38,161,271,1099,13
2007,AVEIRO,2207,,,,,295,163,17,475,2123,80,1,1,2,0,0,0,1,291,105,78,526,1206,4
2007,BEJA,475,,,,,600,1490,941,3031,344,101,18,4,5,1,2,0,0,43,18,0,52,362,4
2007,BRAGA,2809,,,,,1268,3549,20,4836,2322,405,34,28,13,7,0,0,0,145,280,197,947,1240,8
2007,BRAGANÇA,873,,,,,138,1397,25,1560,525,329,10,5,3,1,0,0,1,57,34,0,36,745,3
2007,CASTELO BRANCO,521,,,,,162,259,121,542,425,87,3,5,0,1,0,0,4,80,16,10,222,189,2
2007,COIMBRA,762,,,,,126,52,22,200,727,33,1,0,1,0,0,0,11,109,65,0,233,344,0
2007,ÉVORA,399,,,,,670,34,422,1127,316,65,8,5,2,3,0,0,2,43,0,15,63,276,2
2007,FARO,683,,,,,3,255,13,272,622,58,0,2,1,0,0,0,2,50,4,0,73,554,2
2007,GUARDA,935,,,,,222,4144,233,4599,587,281,23,25,12,6,1,0,6,413,69,7,85,355,16
